Município,Sigla UF,Região,Mês/Ano,Vítimas
Bujari,AC,NORTE,jan/18,1
Cruzeiro do Sul,AC,NORTE,jan/18,8
Feijó,AC,NORTE,jan/18,3
Jordão,AC,NORTE,jan/18,1
Mâncio Lima,AC,NORTE,jan/18,1
Rio Branco,AC,NORTE,jan/18,31
Rodrigues Alves,AC,NORTE,jan/18,2
Sena Madureira,AC,NORTE,jan/18,1
Senador Guiomard,AC,NORTE,jan/18,1
Tarauacá,AC,NORTE,jan/18,1
Xapuri,AC,NORTE,jan/18,1
Capixaba,AC,NORTE,fev/18,3
Cruzeiro do Sul,AC,NORTE,fev/18,4
Feijó,AC,NORTE,fev/18,1
Porto Acre,AC,NORTE,fev/18,1
Rio Branco,AC,NORTE,fev/18,18
Tarauacá,AC,NORTE,fev/18,1
Bujari,AC,NORTE,mar/18,1
Capixaba,AC,NORTE,mar/18,1
Cruzeiro do Sul,AC,NORTE,mar/18,9
Plácido De Castro,AC,NORTE,mar/18,1
Rio Branco,AC,NORTE,mar/18,11
Sena Madureira,AC,NORTE,mar/18,2
Senador Guiomard,AC,NORTE,mar/18,2
Tarauacá,AC,NORTE,mar/18,2
Acrelândia,AC,NORTE,abr/18,1
Brasiléia,AC,NORTE,abr/18,2
Cruzeiro do Sul,AC,NORTE,abr/18,3
Feijó,AC,NORTE,abr/18,1
Plácido De Castro,AC,NORTE,abr/18,3
Porto Acre,AC,NORTE,abr/18,2
Rio Branco,AC,NORTE,abr/18,15
Senador Guiomard,AC,NORTE,abr/18,1
Tarauacá,AC,NORTE,abr/18,2
Acrelândia,AC,NORTE,mai/18,1
Brasiléia,AC,NORTE,mai/18,1
Cruzeiro do Sul,AC,NORTE,mai/18,6
Feijó,AC,NORTE,mai/18,2
Plácido De Castro,AC,NORTE,mai/18,1
Rio Branco,AC,NORTE,mai/18,22
Rodrigues Alves,AC,NORTE,mai/18,1
Sena Madureira,AC,NORTE,mai/18,1
Tarauacá,AC,NORTE,mai/18,1
Assis Brasil,AC,NORTE,jun/18,1
Capixaba,AC,NORTE,jun/18,1
Cruzeiro do Sul,AC,NORTE,jun/18,7
Epitaciolândia,AC,NORTE,jun/18,1
Feijó,AC,NORTE,jun/18,2
Plácido De Castro,AC,NORTE,jun/18,1
Porto Acre,AC,NORTE,jun/18,1
Rio Branco,AC,NORTE,jun/18,18
Sena Madureira,AC,NORTE,jun/18,4
Acrelândia,AC,NORTE,jul/18,1
Assis Brasil,AC,NORTE,jul/18,4
Brasiléia,AC,NORTE,jul/18,1
Cruzeiro do Sul,AC,NORTE,jul/18,7
Feijó,AC,NORTE,jul/18,2
Mâncio Lima,AC,NORTE,jul/18,2
Rio Branco,AC,NORTE,jul/18,33
Sena Madureira,AC,NORTE,jul/18,1
Capixaba,AC,NORTE,ago/18,1
Cruzeiro do Sul,AC,NORTE,ago/18,6
Mâncio Lima,AC,NORTE,ago/18,4
Rio Branco,AC,NORTE,ago/18,19
Tarauacá,AC,NORTE,ago/18,3
Capixaba,AC,NORTE,set/18,2
Cruzeiro do Sul,AC,NORTE,set/18,3
Marechal Thaumaturgo,AC,NORTE,set/18,1
Rio Branco,AC,NORTE,set/18,15
Sena Madureira,AC,NORTE,set/18,1
Senador Guiomard,AC,NORTE,set/18,1
Tarauacá,AC,NORTE,set/18,2
Acrelândia,AC,NORTE,out/18,1
Assis Brasil,AC,NORTE,out/18,1
Brasiléia,AC,NORTE,out/18,1
Bujari,AC,NORTE,out/18,0
Capixaba,AC,NORTE,out/18,1
Cruzeiro Do Sul,AC,NORTE,out/18,3
Epitaciolândia,AC,NORTE,out/18,0
Feijó,AC,NORTE,out/18,3
Jordão,AC,NORTE,out/18,0
Mâncio Lima,AC,NORTE,out/18,0
Manoel Urbano,AC,NORTE,out/18,0
Marechal Thaumaturgo,AC,NORTE,out/18,0
Plácido De Castro,AC,NORTE,out/18,1
Porto Walter,AC,NORTE,out/18,0
Rio Branco,AC,NORTE,out/18,13
Rodrigues Alves,AC,NORTE,out/18,0
Santa Rosa Do Purus,AC,NORTE,out/18,0
Senador Guiomard,AC,NORTE,out/18,1
Sena Madureira,AC,NORTE,out/18,0
Tarauacá,AC,NORTE,out/18,3
Xapuri,AC,NORTE,out/18,0
Porto Acre,AC,NORTE,out/18,0
Acrelândia,AC,NORTE,nov/18,0
Assis Brasil,AC,NORTE,nov/18,1
Brasiléia,AC,NORTE,nov/18,1
Bujari,AC,NORTE,nov/18,0
Capixaba,AC,NORTE,nov/18,0
Cruzeiro Do Sul,AC,NORTE,nov/18,2
Epitaciolândia,AC,NORTE,nov/18,0
Feijó,AC,NORTE,nov/18,1
Jordão,AC,NORTE,nov/18,0
Mâncio Lima,AC,NORTE,nov/18,1
Manoel Urbano,AC,NORTE,nov/18,0
Marechal Thaumaturgo,AC,NORTE,nov/18,0
Plácido De Castro,AC,NORTE,nov/18,0
Porto Walter,AC,NORTE,nov/18,0
Rio Branco,AC,NORTE,nov/18,12
Rodrigues Alves,AC,NORTE,nov/18,0
Santa Rosa Do Purus,AC,NORTE,nov/18,0
Senador Guiomard,AC,NORTE,nov/18,2
Sena Madureira,AC,NORTE,nov/18,0
Tarauacá,AC,NORTE,nov/18,0
Xapuri,AC,NORTE,nov/18,0
Porto Acre,AC,NORTE,nov/18,0
Acrelândia,AC,NORTE,dez/18,1
Assis Brasil,AC,NORTE,dez/18,0
Brasiléia,AC,NORTE,dez/18,1
Bujari,AC,NORTE,dez/18,0
Capixaba,AC,NORTE,dez/18,1
Cruzeiro Do Sul,AC,NORTE,dez/18,1
Epitaciolândia,AC,NORTE,dez/18,0
Feijó,AC,NORTE,dez/18,1
Jordão,AC,NORTE,dez/18,0
Mâncio Lima,AC,NORTE,dez/18,0
Manoel Urbano,AC,NORTE,dez/18,0
Marechal Thaumaturgo,AC,NORTE,dez/18,0
Plácido De Castro,AC,NORTE,dez/18,0
Porto Walter,AC,NORTE,dez/18,0
Rio Branco,AC,NORTE,dez/18,20
Rodrigues Alves,AC,NORTE,dez/18,1
Santa Rosa Do Purus,AC,NORTE,dez/18,0
Senador Guiomard,AC,NORTE,dez/18,1
Sena Madureira,AC,NORTE,dez/18,0
Tarauacá,AC,NORTE,dez/18,1
Xapuri,AC,NORTE,dez/18,1
Porto Acre,AC,NORTE,dez/18,0
Acrelândia,AC,NORTE,jan/19,1
Epitaciolândia,AC,NORTE,jan/19,1
Feijó,AC,NORTE,jan/19,1
Porto Acre,AC,NORTE,jan/19,2
Rio Branco,AC,NORTE,jan/19,22
Rodrigues Alves,AC,NORTE,jan/19,1
Sena Madureira,AC,NORTE,jan/19,1
Sena Madureira,AC,NORTE,jan/19,1
Tarauacá,AC,NORTE,jan/19,2
Brasiléia,AC,NORTE,fev/19,1
Cruzeiro do Sul,AC,NORTE,fev/19,1
Feijó,AC,NORTE,fev/19,3
Mâncio Lima,AC,NORTE,fev/19,2
Rio Branco,AC,NORTE,fev/19,15
Sena Madureira,AC,NORTE,fev/19,1
Senador Guiomard,AC,NORTE,fev/19,2
Tarauacá,AC,NORTE,fev/19,1
Assis Brasil,AC,NORTE,mar/19,2
Brasiléia,AC,NORTE,mar/19,1
Cruzeiro do Sul,AC,NORTE,mar/19,2
Manoel Urbano,AC,NORTE,mar/19,1
Rio Branco,AC,NORTE,mar/19,18
Sena Madureira,AC,NORTE,mar/19,1
Tarauacá,AC,NORTE,mar/19,1
Cruzeiro do Sul,AC,NORTE,abr/19,1
Mâncio Lima,AC,NORTE,abr/19,1
Manoel Urbano,AC,NORTE,abr/19,1
Plácido De Castro,AC,NORTE,abr/19,2
Rio Branco,AC,NORTE,abr/19,14
Senador Guiomard,AC,NORTE,abr/19,1
Tarauacá,AC,NORTE,abr/19,1
Acrelândia,AC,NORTE,mai/19,1
Cruzeiro do Sul,AC,NORTE,mai/19,2
Plácido De Castro,AC,NORTE,mai/19,1
Rio Branco,AC,NORTE,mai/19,13
Sena Madureira,AC,NORTE,mai/19,1
Senador Guiomard,AC,NORTE,mai/19,1
Tarauacá,AC,NORTE,mai/19,1
Assis Brasil,AC,NORTE,jun/19,1
Brasiléia,AC,NORTE,jun/19,2
Cruzeiro do Sul,AC,NORTE,jun/19,3
Feijó,AC,NORTE,jun/19,1
Plácido De Castro,AC,NORTE,jun/19,2
Rio Branco,AC,NORTE,jun/19,14
Tarauacá,AC,NORTE,jun/19,1
Cruzeiro do Sul,AC,NORTE,jul/19,2
Feijó,AC,NORTE,jul/19,1
Jordão,AC,NORTE,jul/19,1
Rio Branco,AC,NORTE,jul/19,16
Rodrigues Alves,AC,NORTE,jul/19,3
Senador Guiomard,AC,NORTE,jul/19,1
Tarauacá,AC,NORTE,jul/19,1
Acrelândia,AC,NORTE,ago/19,1
Brasiléia,AC,NORTE,ago/19,1
Cruzeiro do Sul,AC,NORTE,ago/19,4
Rio Branco,AC,NORTE,ago/19,9
Sena Madureira,AC,NORTE,ago/19,1
Senador Guiomard,AC,NORTE,ago/19,1
Tarauacá,AC,NORTE,ago/19,2
Cruzeiro do Sul,AC,NORTE,set/19,5
Feijó,AC,NORTE,set/19,1
Plácido De Castro,AC,NORTE,set/19,2
Porto Acre,AC,NORTE,set/19,2
Rio Branco,AC,NORTE,set/19,14
Rodrigues Alves,AC,NORTE,set/19,2
Sena Madureira,AC,NORTE,set/19,2
Tarauacá,AC,NORTE,set/19,3
Xapuri,AC,NORTE,set/19,2
Acrelândia,AC,NORTE,out/19,0
Assis Brasil,AC,NORTE,out/19,0
Brasiléia,AC,NORTE,out/19,0
Bujari,AC,NORTE,out/19,0
Capixaba,AC,NORTE,out/19,0
Cruzeiro do Sul,AC,NORTE,out/19,1
Epitaciolândia,AC,NORTE,out/19,1
Feijó,AC,NORTE,out/19,0
Jordão,AC,NORTE,out/19,0
Mâncio Lima,AC,NORTE,out/19,2
Manoel Urbano,AC,NORTE,out/19,0
Marechal Thaumaturgo,AC,NORTE,out/19,0
Plácido De Castro,AC,NORTE,out/19,0
Porto Acre,AC,NORTE,out/19,0
Porto Walter,AC,NORTE,out/19,0
Rio Branco,AC,NORTE,out/19,10
Rodrigues Alves,AC,NORTE,out/19,0
Santa Rosa Do Purus,AC,NORTE,out/19,0
Sena Madureira,AC,NORTE,out/19,0
Senador Guiomard,AC,NORTE,out/19,0
Tarauacá,AC,NORTE,out/19,2
Xapuri,AC,NORTE,out/19,0
Acrelândia,AC,NORTE,nov/19,0
Assis Brasil,AC,NORTE,nov/19,0
Brasiléia,AC,NORTE,nov/19,0
Bujari,AC,NORTE,nov/19,1
Capixaba,AC,NORTE,nov/19,0
Cruzeiro do Sul,AC,NORTE,nov/19,5
Epitaciolândia,AC,NORTE,nov/19,1
Feijó,AC,NORTE,nov/19,1
Jordão,AC,NORTE,nov/19,0
Mâncio Lima,AC,NORTE,nov/19,0
Manoel Urbano,AC,NORTE,nov/19,0
Marechal Thaumaturgo,AC,NORTE,nov/19,0
Plácido De Castro,AC,NORTE,nov/19,1
Porto Acre,AC,NORTE,nov/19,0
Porto Walter,AC,NORTE,nov/19,0
Rio Branco,AC,NORTE,nov/19,14
Rodrigues Alves,AC,NORTE,nov/19,2
Santa Rosa Do Purus,AC,NORTE,nov/19,0
Sena Madureira,AC,NORTE,nov/19,0
Senador Guiomard,AC,NORTE,nov/19,0
Tarauacá,AC,NORTE,nov/19,1
Xapuri,AC,NORTE,nov/19,1
Epitaciolândia,AC,NORTE,dez/19,1
Feijó,AC,NORTE,dez/19,2
Mâncio Lima,AC,NORTE,dez/19,1
Manoel Urbano,AC,NORTE,dez/19,1
Porto Acre,AC,NORTE,dez/19,1
Rio Branco,AC,NORTE,dez/19,24
Sena Madureira,AC,NORTE,dez/19,2
Tarauacá,AC,NORTE,dez/19,2
Acrelândia,AC,NORTE,jan/20,0
Assis Brasil,AC,NORTE,jan/20,0
Brasiléia,AC,NORTE,jan/20,1
Bujari,AC,NORTE,jan/20,0
Capixaba,AC,NORTE,jan/20,0
Cruzeiro do Sul,AC,NORTE,jan/20,0
Epitaciolândia,AC,NORTE,jan/20,1
Feijó,AC,NORTE,jan/20,0
Jordão,AC,NORTE,jan/20,0
Mâncio Lima,AC,NORTE,jan/20,0
Manoel Urbano,AC,NORTE,jan/20,1
Marechal Thaumaturgo,AC,NORTE,jan/20,0
Plácido De Castro,AC,NORTE,jan/20,0
Porto Acre,AC,NORTE,jan/20,0
Porto Walter,AC,NORTE,jan/20,1
Rio Branco,AC,NORTE,jan/20,38
Rodrigues Alves,AC,NORTE,jan/20,1
Santa Rosa Do Purus,AC,NORTE,jan/20,0
Sena Madureira,AC,NORTE,jan/20,1
Senador Guiomard,AC,NORTE,jan/20,1
Tarauacá,AC,NORTE,jan/20,1
Xapuri,AC,NORTE,jan/20,0
Acrelândia,AC,NORTE,fev/20,0
Assis Brasil,AC,NORTE,fev/20,0
Brasiléia,AC,NORTE,fev/20,0
Bujari,AC,NORTE,fev/20,0
Capixaba,AC,NORTE,fev/20,0
Cruzeiro do Sul,AC,NORTE,fev/20,1
Epitaciolândia,AC,NORTE,fev/20,0
Feijó,AC,NORTE,fev/20,0
Jordão,AC,NORTE,fev/20,0
Mâncio Lima,AC,NORTE,fev/20,0
Manoel Urbano,AC,NORTE,fev/20,0
Marechal Thaumaturgo,AC,NORTE,fev/20,0
Plácido De Castro,AC,NORTE,fev/20,0
Porto Acre,AC,NORTE,fev/20,1
Porto Walter,AC,NORTE,fev/20,0
Rio Branco,AC,NORTE,fev/20,12
Rodrigues Alves,AC,NORTE,fev/20,0
Santa Rosa Do Purus,AC,NORTE,fev/20,0
Sena Madureira,AC,NORTE,fev/20,1
Senador Guiomard,AC,NORTE,fev/20,0
Tarauacá,AC,NORTE,fev/20,1
Xapuri,AC,NORTE,fev/20,0
Acrelândia,AC,NORTE,mar/20,0
Assis Brasil,AC,NORTE,mar/20,0
Brasiléia,AC,NORTE,mar/20,0
Bujari,AC,NORTE,mar/20,0
Capixaba,AC,NORTE,mar/20,0
Cruzeiro do Sul,AC,NORTE,mar/20,1
Epitaciolândia,AC,NORTE,mar/20,0
Feijó,AC,NORTE,mar/20,1
Jordão,AC,NORTE,mar/20,0
Mâncio Lima,AC,NORTE,mar/20,0
Manoel Urbano,AC,NORTE,mar/20,0
Marechal Thaumaturgo,AC,NORTE,mar/20,0
Plácido De Castro,AC,NORTE,mar/20,0
Porto Acre,AC,NORTE,mar/20,0
Porto Walter,AC,NORTE,mar/20,0
Rio Branco,AC,NORTE,mar/20,12
Rodrigues Alves,AC,NORTE,mar/20,1
Santa Rosa Do Purus,AC,NORTE,mar/20,0
Sena Madureira,AC,NORTE,mar/20,0
Senador Guiomard,AC,NORTE,mar/20,0
Tarauacá,AC,NORTE,mar/20,3
Xapuri,AC,NORTE,mar/20,0
Água Branca,AL,NORDESTE,jan/18,1
Arapiraca,AL,NORDESTE,jan/18,11
Atalaia,AL,NORDESTE,jan/18,2
Barra De São Miguel,AL,NORDESTE,jan/18,1
Belém,AL,NORDESTE,jan/18,1
Boca Da Mata,AL,NORDESTE,jan/18,1
Boca Da Mata,AL,NORDESTE,jan/18,2
Branquinha,AL,NORDESTE,jan/18,1
Campo Grande,AL,NORDESTE,jan/18,1
Capela,AL,NORDESTE,jan/18,1
Coité Do Nóia,AL,NORDESTE,jan/18,1
Colônia Leopoldina,AL,NORDESTE,jan/18,4
Coqueiro Seco,AL,NORDESTE,jan/18,1
Coruripe,AL,NORDESTE,jan/18,8
Craíbas,AL,NORDESTE,jan/18,1
Delmiro Gouveia,AL,NORDESTE,jan/18,2
Feira Grande,AL,NORDESTE,jan/18,1
Flexeiras,AL,NORDESTE,jan/18,1
Igaci,AL,NORDESTE,jan/18,1
Igreja Nova,AL,NORDESTE,jan/18,1
Inhapi,AL,NORDESTE,jan/18,1
Inhapi,AL,NORDESTE,jan/18,2
Jacuípe,AL,NORDESTE,jan/18,2
Jequiá Da Praia,AL,NORDESTE,jan/18,1
Joaquim Gomes,AL,NORDESTE,jan/18,2
Lagoa Da Canoa,AL,NORDESTE,jan/18,1
Limoeiro De Anadia,AL,NORDESTE,jan/18,3
Maceió,AL,NORDESTE,jan/18,44
Maceió,AL,NORDESTE,jan/18,6
Maragogi,AL,NORDESTE,jan/18,1
Mata Grande,AL,NORDESTE,jan/18,1
Murici,AL,NORDESTE,jan/18,1
Palmeira Dos Índios,AL,NORDESTE,jan/18,2
Palmeira Dos Índios,AL,NORDESTE,jan/18,2
Paripueira,AL,NORDESTE,jan/18,1
Passo De Camaragibe,AL,NORDESTE,jan/18,1
Penedo,AL,NORDESTE,jan/18,4
Piaçabuçu,AL,NORDESTE,jan/18,2
Pilar,AL,NORDESTE,jan/18,4
Piranhas,AL,NORDESTE,jan/18,2
Porto De Pedras,AL,NORDESTE,jan/18,1
Rio Largo,AL,NORDESTE,jan/18,8
Santana Do Ipanema,AL,NORDESTE,jan/18,1
Santana Do Mundaú,AL,NORDESTE,jan/18,2
São José Da Tapera,AL,NORDESTE,jan/18,1
São Luís Do Quitunde,AL,NORDESTE,jan/18,3
São Miguel Dos Campos,AL,NORDESTE,jan/18,1
São Miguel Dos Milagres,AL,NORDESTE,jan/18,1
São Sebastião,AL,NORDESTE,jan/18,3
Senador Rui Palmeira,AL,NORDESTE,jan/18,1
Teotônio Vilela,AL,NORDESTE,jan/18,2
Teotônio Vilela,AL,NORDESTE,jan/18,1
Arapiraca,AL,NORDESTE,fev/18,5
Atalaia,AL,NORDESTE,fev/18,1
Barra De São Miguel,AL,NORDESTE,fev/18,2
Boca Da Mata,AL,NORDESTE,fev/18,1
Branquinha,AL,NORDESTE,fev/18,1
Cajueiro,AL,NORDESTE,fev/18,1
Campo Alegre,AL,NORDESTE,fev/18,1
Capela,AL,NORDESTE,fev/18,1
Colônia Leopoldina,AL,NORDESTE,fev/18,1
Coqueiro Seco,AL,NORDESTE,fev/18,1
Feira Grande,AL,NORDESTE,fev/18,1
Igaci,AL,NORDESTE,fev/18,2
Jundiá,AL,NORDESTE,fev/18,1
Maceió,AL,NORDESTE,fev/18,31
Maceió,AL,NORDESTE,fev/18,2
Major Isidoro,AL,NORDESTE,fev/18,1
Maragogi,AL,NORDESTE,fev/18,1
Marechal Deodoro,AL,NORDESTE,fev/18,4
Maribondo,AL,NORDESTE,fev/18,2
Mata Grande,AL,NORDESTE,fev/18,1
Messias,AL,NORDESTE,fev/18,1
Murici,AL,NORDESTE,fev/18,1
Olivença,AL,NORDESTE,fev/18,1
Ouro Branco,AL,NORDESTE,fev/18,1
Palmeira Dos Índios,AL,NORDESTE,fev/18,2
Palmeira Dos Índios,AL,NORDESTE,fev/18,1
Paripueira,AL,NORDESTE,fev/18,1
Passo De Camaragibe,AL,NORDESTE,fev/18,1
Penedo,AL,NORDESTE,fev/18,1
Piaçabuçu,AL,NORDESTE,fev/18,1
Pilar,AL,NORDESTE,fev/18,6
Piranhas,AL,NORDESTE,fev/18,1
Porto Real Do Colégio,AL,NORDESTE,fev/18,1
Rio Largo,AL,NORDESTE,fev/18,8
Roteiro,AL,NORDESTE,fev/18,1
Santa Luzia Do Norte,AL,NORDESTE,fev/18,1
Santana Do Ipanema,AL,NORDESTE,fev/18,1
São José Da Laje,AL,NORDESTE,fev/18,2
São José Da Tapera,AL,NORDESTE,fev/18,1
São Luís Do Quitunde,AL,NORDESTE,fev/18,2
São Sebastião,AL,NORDESTE,fev/18,1
Senador Rui Palmeira,AL,NORDESTE,fev/18,1
Taquarana,AL,NORDESTE,fev/18,2
Teotônio Vilela,AL,NORDESTE,fev/18,2
União Dos Palmares,AL,NORDESTE,fev/18,2
Viçosa,AL,NORDESTE,fev/18,2
Anadia,AL,NORDESTE,mar/18,1
Arapiraca,AL,NORDESTE,mar/18,13
Barra De Santo Antônio,AL,NORDESTE,mar/18,1
Barra De São Miguel,AL,NORDESTE,mar/18,2
Branquinha,AL,NORDESTE,mar/18,1
Coité Do Nóia,AL,NORDESTE,mar/18,2
Coqueiro Seco,AL,NORDESTE,mar/18,1
Coruripe,AL,NORDESTE,mar/18,3
Craíbas,AL,NORDESTE,mar/18,2
Delmiro Gouveia,AL,NORDESTE,mar/18,3
Feliz Deserto,AL,NORDESTE,mar/18,1
Flexeiras,AL,NORDESTE,mar/18,1
Girau Do Ponciano,AL,NORDESTE,mar/18,2
Girau Do Ponciano,AL,NORDESTE,mar/18,2
Ibateguara,AL,NORDESTE,mar/18,1
Igaci,AL,NORDESTE,mar/18,1
Igreja Nova,AL,NORDESTE,mar/18,1
Inhapi,AL,NORDESTE,mar/18,1
Japaratinga,AL,NORDESTE,mar/18,1
Joaquim Gomes,AL,NORDESTE,mar/18,2
Junqueiro,AL,NORDESTE,mar/18,1
Maceió,AL,NORDESTE,mar/18,39
Major Isidoro,AL,NORDESTE,mar/18,1
Marechal Deodoro,AL,NORDESTE,mar/18,1
Messias,AL,NORDESTE,mar/18,1
Murici,AL,NORDESTE,mar/18,1
Olho D Água Das Flores,AL,NORDESTE,mar/18,1
Ouro Branco,AL,NORDESTE,mar/18,1
Pariconha,AL,NORDESTE,mar/18,1
Penedo,AL,NORDESTE,mar/18,2
Piaçabuçu,AL,NORDESTE,mar/18,1
Pilar,AL,NORDESTE,mar/18,2
Piranhas,AL,NORDESTE,mar/18,1
Rio Largo,AL,NORDESTE,mar/18,10
Roteiro,AL,NORDESTE,mar/18,1
São José Da Laje,AL,NORDESTE,mar/18,1
São José Da Tapera,AL,NORDESTE,mar/18,2
São Miguel Dos Campos,AL,NORDESTE,mar/18,2
São Sebastião,AL,NORDESTE,mar/18,1
Taquarana,AL,NORDESTE,mar/18,1
Teotônio Vilela,AL,NORDESTE,mar/18,4
Viçosa,AL,NORDESTE,mar/18,1
Água Branca,AL,NORDESTE,abr/18,1
Anadia,AL,NORDESTE,abr/18,1
Arapiraca,AL,NORDESTE,abr/18,18
Atalaia,AL,NORDESTE,abr/18,1
Barra De São Miguel,AL,NORDESTE,abr/18,2
Belém,AL,NORDESTE,abr/18,1
Branquinha,AL,NORDESTE,abr/18,1
Campo Alegre,AL,NORDESTE,abr/18,2
Coité Do Nóia,AL,NORDESTE,abr/18,1
Coruripe,AL,NORDESTE,abr/18,6
Craíbas,AL,NORDESTE,abr/18,1
Delmiro Gouveia,AL,NORDESTE,abr/18,1
Dois Riachos,AL,NORDESTE,abr/18,1
Estrela De Alagoas,AL,NORDESTE,abr/18,1
Feira Grande,AL,NORDESTE,abr/18,1
Girau Do Ponciano,AL,NORDESTE,abr/18,1
Igreja Nova,AL,NORDESTE,abr/18,2
Japaratinga,AL,NORDESTE,abr/18,1
Lagoa Da Canoa,AL,NORDESTE,abr/18,1
Limoeiro De Anadia,AL,NORDESTE,abr/18,2
Maceió,AL,NORDESTE,abr/18,43
Maceió,AL,NORDESTE,abr/18,5
Maravilha,AL,NORDESTE,abr/18,1
Marechal Deodoro,AL,NORDESTE,abr/18,1
Messias,AL,NORDESTE,abr/18,1
Minador Do Negrão,AL,NORDESTE,abr/18,1
Murici,AL,NORDESTE,abr/18,2
Murici,AL,NORDESTE,abr/18,2
Olho D Água Das Flores,AL,NORDESTE,abr/18,1
Palmeira Dos Índios,AL,NORDESTE,abr/18,5
Paripueira,AL,NORDESTE,abr/18,2
Paripueira,AL,NORDESTE,abr/18,1
Passo De Camaragibe,AL,NORDESTE,abr/18,1
Paulo Jacinto,AL,NORDESTE,abr/18,1
Penedo,AL,NORDESTE,abr/18,1
Piaçabuçu,AL,NORDESTE,abr/18,1
Pilar,AL,NORDESTE,abr/18,7
Piranhas,AL,NORDESTE,abr/18,1
Poço Das Trincheiras,AL,NORDESTE,abr/18,1
Porto Calvo,AL,NORDESTE,abr/18,1
Porto Real Do Colégio,AL,NORDESTE,abr/18,1
Rio Largo,AL,NORDESTE,abr/18,5
Santa Luzia Do Norte,AL,NORDESTE,abr/18,1
São Luís Do Quitunde,AL,NORDESTE,abr/18,1
São Miguel Dos Milagres,AL,NORDESTE,abr/18,1
São Sebastião,AL,NORDESTE,abr/18,1
Satuba,AL,NORDESTE,abr/18,2
Traipu,AL,NORDESTE,abr/18,1
Arapiraca,AL,NORDESTE,mai/18,8
Atalaia,AL,NORDESTE,mai/18,2
Barra De São Miguel,AL,NORDESTE,mai/18,1
Batalha,AL,NORDESTE,mai/18,1
Boca Da Mata,AL,NORDESTE,mai/18,2
Capela,AL,NORDESTE,mai/18,1
Carneiros,AL,NORDESTE,mai/18,1
Colônia Leopoldina,AL,NORDESTE,mai/18,3
Colônia Leopoldina,AL,NORDESTE,mai/18,2
Coruripe,AL,NORDESTE,mai/18,2
Coruripe,AL,NORDESTE,mai/18,4
Craíbas,AL,NORDESTE,mai/18,1
Feira Grande,AL,NORDESTE,mai/18,1
Flexeiras,AL,NORDESTE,mai/18,2
Girau Do Ponciano,AL,NORDESTE,mai/18,2
Igaci,AL,NORDESTE,mai/18,1
Inhapi,AL,NORDESTE,mai/18,1
Jacaré Dos Homens,AL,NORDESTE,mai/18,1
Jaramataia,AL,NORDESTE,mai/18,1
Jequiá Da Praia,AL,NORDESTE,mai/18,1
Joaquim Gomes,AL,NORDESTE,mai/18,1
Lagoa Da Canoa,AL,NORDESTE,mai/18,3
Maceió,AL,NORDESTE,mai/18,29
Maragogi,AL,NORDESTE,mai/18,1
Marechal Deodoro,AL,NORDESTE,mai/18,1
Mata Grande,AL,NORDESTE,mai/18,1
Matriz De Camaragibe,AL,NORDESTE,mai/18,1
Minador Do Negrão,AL,NORDESTE,mai/18,1
Murici,AL,NORDESTE,mai/18,3
Olho D Água Das Flores,AL,NORDESTE,mai/18,1
Palmeira Dos Índios,AL,NORDESTE,mai/18,1
Palmeira Dos Índios,AL,NORDESTE,mai/18,2
Paripueira,AL,NORDESTE,mai/18,1
Penedo,AL,NORDESTE,mai/18,3
Pilar,AL,NORDESTE,mai/18,1
Porto Real Do Colégio,AL,NORDESTE,mai/18,1
Rio Largo,AL,NORDESTE,mai/18,6
Rio Largo,AL,NORDESTE,mai/18,1
Roteiro,AL,NORDESTE,mai/18,2
Santana Do Ipanema,AL,NORDESTE,mai/18,1
São José Da Laje,AL,NORDESTE,mai/18,1
São José Da Tapera,AL,NORDESTE,mai/18,1
São Luís Do Quitunde,AL,NORDESTE,mai/18,2
São Miguel Dos Campos,AL,NORDESTE,mai/18,2
São Sebastião,AL,NORDESTE,mai/18,1
Teotônio Vilela,AL,NORDESTE,mai/18,2
Traipu,AL,NORDESTE,mai/18,1
União Dos Palmares,AL,NORDESTE,mai/18,2
Viçosa,AL,NORDESTE,mai/18,1
Água Branca,AL,NORDESTE,jun/18,1
Arapiraca,AL,NORDESTE,jun/18,9
Atalaia,AL,NORDESTE,jun/18,3
Barra De Santo Antônio,AL,NORDESTE,jun/18,1
Branquinha,AL,NORDESTE,jun/18,1
Cajueiro,AL,NORDESTE,jun/18,2
Capela,AL,NORDESTE,jun/18,1
Coruripe,AL,NORDESTE,jun/18,4
Delmiro Gouveia,AL,NORDESTE,jun/18,1
Dois Riachos,AL,NORDESTE,jun/18,2
Feliz Deserto,AL,NORDESTE,jun/18,1
Flexeiras,AL,NORDESTE,jun/18,1
Girau Do Ponciano,AL,NORDESTE,jun/18,1
Ibateguara,AL,NORDESTE,jun/18,2
Igaci,AL,NORDESTE,jun/18,1
Inhapi,AL,NORDESTE,jun/18,1
Maceió,AL,NORDESTE,jun/18,35
Maragogi,AL,NORDESTE,jun/18,1
Maravilha,AL,NORDESTE,jun/18,1
Matriz De Camaragibe,AL,NORDESTE,jun/18,3
Messias,AL,NORDESTE,jun/18,2
Minador Do Negrão,AL,NORDESTE,jun/18,1
Murici,AL,NORDESTE,jun/18,1
Novo Lino,AL,NORDESTE,jun/18,1
Palmeira Dos Índios,AL,NORDESTE,jun/18,2
Penedo,AL,NORDESTE,jun/18,4
